date,price,open,high,low,vol.,change_%,volume,date_ddmmyyyy,ret_close,ret_reported,day,event_day,n_trades,n_buy,n_sell,net_value,buy_value,sell_value,net_shares,unique_insiders,ret_cc_1d,ret_oc,prev_close,ret_prevclose_to_close,ret_prevclose_to_open,ret_open_to_close,vol_20d_ann,net_value_30d,trades_30d,unique_insiders_30d,vol_regime
2015-01-02,62.49,62.62,62.96,62.07,12.60M,-0.0014,12600000.0,02/01/2015,,-0.0014,2015-01-02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0020760140530181603,,,,-0.0020760140530181603,,,,,NA
2015-01-05,60.55,62.06,62.28,60.23,20.10M,-0.031,20100000.0,05/01/2015,-0.0310449671947512,-0.031,2015-01-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03104496719475125,-0.02433129229777642,62.49,-0.03104496719475125,-0.006881100976156129,-0.02433129229777642,,,,,NA
2015-01-06,58.98,60.64,60.75,58.35,29.07M,-0.0259,29070000.0,06/01/2015,-0.0259289843104871,-0.0259,2015-01-06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02592898431048718,-0.027374670184696637,60.55,-0.02592898431048718,0.0014863748967794965,-0.027374670184696637,,,,,NA
2015-01-07,59.07,59.89,59.89,58.66,23.84M,0.0015,23840000.0,07/01/2015,0.0015259409969481,0.0015,2015-01-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015259409969481386,-0.013691768241776647,58.98,0.0015259409969481386,0.015428958969142093,-0.013691768241776647,,,,,NA
2015-01-08,60.39,59.97,60.9,59.97,16.97M,0.0223,16970000.0,08/01/2015,0.0223463687150837,0.0223,2015-01-08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022346368715083775,0.007003501750875385,59.07,0.022346368715083775,0.015236160487557049,0.007003501750875385,,,,,NA
2015-01-09,59.34,60.72,60.79,59.29,15.40M,-0.0174,15400000.0,09/01/2015,-0.0173869846000993,-0.0174,2015-01-09,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017386984600099353,-0.022727272727272707,60.39,-0.017386984600099353,0.005464480874316946,-0.022727272727272707,,,,,NA
2015-01-12,58.83,59.28,59.4,58.27,15.46M,-0.0086,15460000.0,12/01/2015,-0.0085945399393327,-0.0086,2015-01-12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00859453993933279,-0.007591093117408909,59.34,-0.00859453993933279,-0.0010111223458039165,-0.007591093117408909,,,,,NA
2015-01-13,58.84,59.26,59.7,58.37,21.64M,0.0002,21640000.0,13/01/2015,0.0001699813020568,0.0002,2015-01-13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016998130205680972,-0.007087411407357358,58.83,0.00016998130205680972,0.007309195988441264,-0.007087411407357358,,,,,NA
2015-01-14,56.81,56.91,57.0,55.27,49.60M,-0.0345,49600000.0,14/01/2015,-0.0345003399048267,-0.0345,2015-01-14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034500339904826705,-0.0017571604287470732,58.84,-0.034500339904826705,-0.03280081577158411,-0.0017571604287470732,,,,,NA
2015-01-15,54.99,55.73,56.61,54.5,42.46M,-0.032,42460000.0,15/01/2015,-0.0320366132723112,-0.032,2015-01-15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03203661327231122,-0.013278306118786887,56.81,-0.03203661327231122,-0.019010737546206746,-0.013278306118786887,,,,,NA
