model,task,fold,train_start,train_end,test_start,test_end,roc_auc,pr_auc,accuracy,f1,precision,recall,brier,mae,rmse,r2,dir_acc
LogReg,cls_5d,0,2015-04-01,2020-04-01,2020-04-01,2020-10-01,0.4902985074626866,0.49568636513918385,0.5039370078740157,0.24096385542168675,0.43478260869565216,0.16666666666666666,0.2659631430969435,,,,
Ridge,reg_5d,0,2015-04-01,2020-04-01,2020-04-01,2020-10-01,,,,,,,,0.047043922364924703,0.06205286368273694,-0.05357146939688451,0.4409448818897638
Ridge,reg_20d,0,2015-04-01,2020-04-01,2020-04-01,2020-10-01,,,,,,,,0.06206159465813283,0.08245895933479813,-0.1813217832926528,0.5669291338582677
LogReg,cls_5d,1,2015-04-01,2020-10-01,2020-10-01,2021-04-01,0.5991176470588235,0.7565153493697857,0.568,0.6142857142857143,0.7818181818181819,0.5058823529411764,0.2500706080374321,,,,
Ridge,reg_5d,1,2015-04-01,2020-10-01,2020-10-01,2021-04-01,,,,,,,,0.03504899281207042,0.045765732970113285,-0.2371591000217379,0.536
Ridge,reg_20d,1,2015-04-01,2020-10-01,2020-10-01,2021-04-01,,,,,,,,0.07928012853547999,0.10086899498765915,-1.1571514891669672,0.488
LogReg,cls_5d,2,2015-04-01,2021-04-01,2021-04-01,2021-10-01,0.6909090909090909,0.7303471156775246,0.5826771653543307,0.7309644670050761,0.576,1.0,0.23540055160229809,,,,
Ridge,reg_5d,2,2015-04-01,2021-04-01,2021-04-01,2021-10-01,,,,,,,,0.02467537690523492,0.031129833504135025,0.0056919566739451755,0.5511811023622047
Ridge,reg_20d,2,2015-04-01,2021-04-01,2021-04-01,2021-10-01,,,,,,,,0.04167705432366934,0.049912915775562984,-0.17366470844837867,0.5275590551181102
LogReg,cls_5d,3,2015-04-01,2021-10-01,2021-10-01,2022-04-01,0.5355281207133059,0.42700030681446677,0.4523809523809524,0.543046357615894,0.3867924528301887,0.9111111111111111,0.26539815753303714,,,,
Ridge,reg_5d,3,2015-04-01,2021-10-01,2021-10-01,2022-04-01,,,,,,,,0.03414159888160216,0.04331286319941158,-0.05002091170548595,0.48412698412698413
Ridge,reg_20d,3,2015-04-01,2021-10-01,2021-10-01,2022-04-01,,,,,,,,0.06333075368979364,0.0766577451723602,-1.1079529412630569,0.3412698412698413
LogReg,cls_5d,4,2015-04-01,2022-04-01,2022-04-01,2022-10-01,0.5907921810699589,0.4759979129956452,0.5396825396825397,0.6133333333333333,0.4791666666666667,0.8518518518518519,0.2544321788006036,,,,
Ridge,reg_5d,4,2015-04-01,2022-04-01,2022-04-01,2022-10-01,,,,,,,,0.03445691287334483,0.04506529777056417,-0.05476742906386667,0.5714285714285714
Ridge,reg_20d,4,2015-04-01,2022-04-01,2022-04-01,2022-10-01,,,,,,,,0.05988274054371608,0.07341231912780084,-0.09453779040563814,0.47619047619047616
LogReg,cls_5d,5,2015-04-01,2022-10-01,2022-10-01,2023-04-01,0.4633825079030558,0.6137452360352886,0.48,0.6368715083798883,0.5377358490566038,0.7808219178082192,0.25757670130164,,,,
Ridge,reg_5d,5,2015-04-01,2022-10-01,2022-10-01,2023-04-01,,,,,,,,0.030041284561072794,0.04028575723594998,-0.08639430804793569,0.464
Ridge,reg_20d,5,2015-04-01,2022-10-01,2022-10-01,2023-04-01,,,,,,,,0.06900283067185914,0.09095012507096265,-0.1855306052205472,0.504
LogReg,cls_5d,6,2015-04-01,2023-04-01,2023-04-01,2023-10-01,0.5894871794871795,0.590728758702713,0.432,0.5534591194968553,0.4444444444444444,0.7333333333333333,0.2519192900399012,,,,
Ridge,reg_5d,6,2015-04-01,2023-04-01,2023-04-01,2023-10-01,,,,,,,,0.02325057854033979,0.031103896518593417,-0.044887664608715294,0.584
Ridge,reg_20d,6,2015-04-01,2023-04-01,2023-04-01,2023-10-01,,,,,,,,0.042511749013242554,0.05157448529743211,-0.04032237455296883,0.592
LogReg,cls_5d,7,2015-04-01,2023-10-01,2023-10-01,2024-04-01,0.6032182103610674,0.873360334799104,0.6693548387096774,0.8019323671497585,0.7614678899082569,0.8469387755102041,0.21205977588267153,,,,
Ridge,reg_5d,7,2015-04-01,2023-10-01,2023-10-01,2024-04-01,,,,,,,,0.03274278202880473,0.04428985464513956,-2.8021871129762443,0.47580645161290325
Ridge,reg_20d,7,2015-04-01,2023-10-01,2023-10-01,2024-04-01,,,,,,,,0.11281045026805521,0.1739802835737624,-12.813913498823931,0.4838709677419355
LogReg,cls_5d,8,2015-04-01,2024-04-01,2024-04-01,2024-10-01,0.5040588533739219,0.5993932664928543,0.5354330708661418,0.6810810810810811,0.5625,0.863013698630137,0.2518194995041968,,,,
Ridge,reg_5d,8,2015-04-01,2024-04-01,2024-04-01,2024-10-01,,,,,,,,0.02827391488344107,0.03467791394707569,0.038322051282336456,0.6377952755905512
Ridge,reg_20d,8,2015-04-01,2024-04-01,2024-04-01,2024-10-01,,,,,,,,0.03731488701625619,0.043534013486422565,0.168702103900371,0.6377952755905512
